period,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17
post,0.016666675,0.016666673,0.016666671,0.016666671,0.1833333,0.016666671,0.2833333,0.016666671,0.016666671,0.016666671,0.016666671,0.2833333,0.016666671,0.016666671,0.016666671,0.016666671,0.016666671,0.016666675
pre,0.23827158,0.01604939,0.016049389,0.016049389,0.01604939,0.016049389,0.0160494,0.016049389,0.016049389,0.016049389,0.016049389,0.282716,0.016049389,0.016049389,0.016049389,0.016049389,0.016049389,0.23827155
